title,aired,members,popularity,ranked
Fullmetal Alchemist: Brotherhood,"Apr 5, 2009 to Jul 4, 2010",1615084,4,1
Steins;Gate,"Apr 6, 2011 to Sep 14, 2011",1331710,7,2
Hunter x Hunter (2011),"Oct 2, 2011 to Sep 24, 2014",1052761,20,3
Kimi no Na wa.,26-Aug-16,1139878,15,4
Shingeki no Kyojin Season 3 Part 2,"Apr 29, 2019 to Jul 1, 2019",446370,175,5
Gintama°,"Apr 8, 2015 to Mar 30, 2016",281594,351,6
Gintama',"Apr 4, 2011 to Mar 26, 2012",278110,353,7
Ginga Eiyuu Densetsu,"Jan 8, 1988 to Mar 17, 1997",175423,620,8
3-gatsu no Lion 2nd Season,"Oct 14, 2017 to Mar 31, 2018",169544,657,9
Koe no Katachi,17-Sep-16,842277,53,10
Gintama': Enchousen,"Oct 4, 2012 to Mar 28, 2013",166446,667,11
Clannad: After Story,"Oct 3, 2008 to Mar 27, 2009",740101,64,12
Gintama,"Apr 4, 2006 to Mar 25, 2010",579150,97,13
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,6-Jul-13,135232,833,14
Gintama.,"Jan 9, 2017 to Mar 27, 2017",139309,800,15
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,"Oct 8, 2016 to Dec 10, 2016",395375,223,16
Code Geass: Hangyaku no Lelouch R2,"Apr 6, 2008 to Sep 28, 2008",992196,27,17
Owarimonogatari 2nd Season,"Aug 12, 2017 to Aug 13, 2017",189944,573,18
Kimetsu no Yaiba,"Apr 6, 2019 to Sep 28, 2019",575037,106,19
Sen to Chihiro no Kamikakushi,20-Jul-01,913212,40,20
Mob Psycho 100 II,"Jan 7, 2019 to Apr 1, 2019",442310,176,21
Kizumonogatari III: Reiketsu-hen,6-Jan-17,214621,502,22
Made in Abyss,"Jul 7, 2017 to Sep 29, 2017",581663,98,23
Shigatsu wa Kimi no Uso,"Oct 10, 2014 to Mar 20, 2015",995473,28,24
Haikyuu!! Second Season,"Oct 4, 2015 to Mar 27, 2016",489888,141,25
Cowboy Bebop,"Apr 3, 1998 to Apr 24, 1999",930311,39,26
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,"Jan 7, 2017 to Mar 25, 2017",106792,1050,27
Vinland Saga,"Jul 8, 2019 to Dec 30, 2019",289086,334,28
Hajime no Ippo,"Oct 4, 2000 to Mar 27, 2002",301226,322,29
Mononoke Hime,12-Jul-97,656961,77,30
Code Geass: Hangyaku no Lelouch,"Oct 6, 2006 to Jul 29, 2007",1231546,11,31
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,"Jul 9, 2018 to Oct 8, 2018",67444,1557,32
Monogatari Series: Second Season,"Jul 7, 2013 to Dec 29, 2013",397172,219,33
Mushishi Zoku Shou 2nd Season,"Oct 19, 2014 to Dec 21, 2014",157406,709,34
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Feb 20, 1999 to Sep 22, 1999",200024,537,35
Gintama.: Shirogane no Tamashii-hen,"Jan 8, 2018 to Mar 26, 2018",82056,1335,36
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,15-Jun-19,118580,1004,37
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"Oct 6, 2018 to Jul 28, 2019",255280,394,38
Mushishi Zoku Shou,"Apr 5, 2014 to Jun 21, 2014",185283,585,39
Great Teacher Onizuka,"Jun 30, 1999 to Sep 17, 2000",456381,163,40
Howl no Ugoku Shiro,20-Nov-04,615722,88,41
Mushishi,"Oct 23, 2005 to Jun 19, 2006",503625,132,42
Ookami Kodomo no Ame to Yuki,21-Jul-12,472563,150,43
Tengen Toppa Gurren Lagann,"Apr 1, 2007 to Sep 30, 2007",982090,29,44
Hajime no Ippo: New Challenger,"Jan 7, 2009 to Jul 1, 2009",162463,682,45
Monster,"Apr 7, 2004 to Sep 28, 2005",459710,159,46
